mart,mart_code,sale_date,lot,auction_id,breed,sex,age_months,weight,price,price_per_kg,icbf_stars,status,scraped_date,val_code
LSL Auctions,M186,2026-03-26,531,628052,LMX,F,29.0,570.0,2190.0,3.8421,4.0,Lot Sold,2026-03-27,M186-628052
LSL Auctions,M186,2026-03-26,532,627883,HEX,F,24.6,533.33,1920.0,3.6,4.0,Lot Sold,2026-03-27,M186-627883
LSL Auctions,M186,2026-03-26,533,627884,AAX,F,22.9,498.33,1860.0,3.7325,4.0,Lot Sold,2026-03-27,M186-627884
LSL Auctions,M186,2026-03-26,534,627885,HEX,F,24.6,518.33,1860.0,3.5884,4.0,Lot Sold,2026-03-27,M186-627885
LSL Auctions,M186,2026-03-26,535,627886,AAX,F,23.5,563.33,2030.0,3.6036,4.0,Lot Sold,2026-03-27,M186-627886
LSL Auctions,M186,2026-03-26,536,627887,HEX,F,25.5,532.5,1950.0,3.662,4.0,Lot Sold,2026-03-27,M186-627887
LSL Auctions,M186,2026-03-26,537,627888,AAX,F,23.9,522.5,1890.0,3.6172,4.0,Lot Sold,2026-03-27,M186-627888
LSL Auctions,M186,2026-03-26,538,627889,FR,F,25.6,570.0,1790.0,3.1404,4.0,Lot Sold,2026-03-27,M186-627889
LSL Auctions,M186,2026-03-26,539,628114,HEX,F,24.6,490.0,1800.0,3.6735,4.0,Lot Sold,2026-03-27,M186-628114
LSL Auctions,M186,2026-03-26,539A,628115,AAX,F,21.3,510.0,1840.0,3.6078,4.0,Lot Sold,2026-03-27,M186-628115
LSL Auctions,M186,2026-03-26,540,628116,AAX,F,23.8,405.0,1630.0,4.0247,4.0,Lot Sold,2026-03-27,M186-628116
LSL Auctions,M186,2026-03-26,540A,628117,AAX,F,25.8,435.0,1710.0,3.931,4.0,Lot Sold,2026-03-27,M186-628117
LSL Auctions,M186,2026-03-26,541,628118,AAX,F,23.8,470.0,1870.0,3.9787,4.0,Lot Sold,2026-03-27,M186-628118
LSL Auctions,M186,2026-03-26,541A,628119,AAX,F,23.7,490.0,1810.0,3.6939,4.0,Lot Sold,2026-03-27,M186-628119
LSL Auctions,M186,2026-03-26,542,628024,AAX,F,24.8,540.0,1920.0,3.5556,4.0,Lot Sold,2026-03-27,M186-628024
LSL Auctions,M186,2026-03-26,542A,628120,AAX,F,23.9,490.0,1800.0,3.6735,4.0,Lot Sold,2026-03-27,M186-628120
LSL Auctions,M186,2026-03-26,543,628025,AAX,F,24.3,550.0,1920.0,3.4909,4.0,Lot Sold,2026-03-27,M186-628025
LSL Auctions,M186,2026-03-26,544,628026,AAX,F,23.8,517.5,1920.0,3.7101,4.0,Lot Sold,2026-03-27,M186-628026
LSL Auctions,M186,2026-03-26,545,628027,AAX,F,24.5,525.0,1920.0,3.6571,4.0,Lot Sold,2026-03-27,M186-628027
LSL Auctions,M186,2026-03-26,546,627822,CHX,F,21.2,440.0,2230.0,5.0682,4.0,Lot Sold,2026-03-27,M186-627822
LSL Auctions,M186,2026-03-26,547,627823,LMX,F,23.2,545.0,2800.0,5.1376,4.0,Lot Sold,2026-03-27,M186-627823
LSL Auctions,M186,2026-03-26,548,627824,CHX,F,23.4,625.0,2740.0,4.384,4.0,Lot Sold,2026-03-27,M186-627824
LSL Auctions,M186,2026-03-26,549,627825,AAX,F,23.4,560.0,2050.0,3.6607,4.0,Lot Sold,2026-03-27,M186-627825
LSL Auctions,M186,2026-03-26,551,627827,CHX,F,21.2,360.0,1720.0,4.7778,4.0,Lot Sold,2026-03-27,M186-627827
LSL Auctions,M186,2026-03-26,552,627828,BAX,F,20.8,390.0,1830.0,4.6923,4.0,Lot Sold,2026-03-27,M186-627828
LSL Auctions,M186,2026-03-26,553,627829,CHX,F,20.0,335.0,1760.0,5.2537,4.0,Lot Sold,2026-03-27,M186-627829
LSL Auctions,M186,2026-03-26,554,627830,CHX,F,19.2,315.0,1480.0,4.6984,4.0,Lot Sold,2026-03-27,M186-627830
LSL Auctions,M186,2026-03-26,555,627831,CHX,F,21.2,380.0,1920.0,5.0526,4.0,Lot Sold,2026-03-27,M186-627831
LSL Auctions,M186,2026-03-26,556,627832,CHX,F,12.8,310.0,1540.0,4.9677,4.0,Lot Sold,2026-03-27,M186-627832
LSL Auctions,M186,2026-03-26,557,627833,CHX,F,17.8,375.0,1500.0,4.0,4.0,Lot Sold,2026-03-27,M186-627833
LSL Auctions,M186,2026-03-26,558,627834,LMX,F,22.1,330.0,1790.0,5.4242,4.0,Lot Sold,2026-03-27,M186-627834
LSL Auctions,M186,2026-03-26,559,627835,HEX,F,23.9,475.0,1550.0,3.2632,4.0,Lot Sold,2026-03-27,M186-627835
LSL Auctions,M186,2026-03-26,560,627836,AAX,F,25.1,440.0,1710.0,3.8864,4.0,Lot Sold,2026-03-27,M186-627836
LSL Auctions,M186,2026-03-26,561,627837,AAX,F,23.5,580.0,2130.0,3.6724,4.0,Lot Sold,2026-03-27,M186-627837
LSL Auctions,M186,2026-03-26,562,627838,HEX,F,25.1,560.0,2000.0,3.5714,4.0,Lot Sold,2026-03-27,M186-627838
LSL Auctions,M186,2026-03-26,563,627839,AAX,F,18.6,475.0,1750.0,3.6842,4.0,Lot Sold,2026-03-27,M186-627839
LSL Auctions,M186,2026-03-26,564,627840,CHX,F,26.0,620.0,2320.0,3.7419,4.0,Lot Sold,2026-03-27,M186-627840
LSL Auctions,M186,2026-03-26,565,627841,AAX,F,25.9,565.0,2070.0,3.6637,4.0,Lot Sold,2026-03-27,M186-627841
LSL Auctions,M186,2026-03-26,566,627842,HEX,F,23.8,595.0,2190.0,3.6807,4.0,Lot Sold,2026-03-27,M186-627842
LSL Auctions,M186,2026-03-26,567,627843,AAX,F,27.1,680.0,2490.0,3.6618,4.0,Lot Sold,2026-03-27,M186-627843
LSL Auctions,M186,2026-03-26,568,627844,BBX,F,14.5,335.0,1250.0,3.7313,4.0,Lot Sold,2026-03-27,M186-627844
LSL Auctions,M186,2026-03-26,569,627845,AAX,F,16.7,415.0,1600.0,3.8554,4.0,Lot Sold,2026-03-27,M186-627845
LSL Auctions,M186,2026-03-26,570,627846,AAX,F,18.1,395.0,1620.0,4.1013,4.0,Lot Sold,2026-03-27,M186-627846
LSL Auctions,M186,2026-03-26,571,627847,AAX,F,20.9,555.0,2020.0,3.6396,4.0,Lot Sold,2026-03-27,M186-627847
LSL Auctions,M186,2026-03-26,572,627848,LMX,F,25.6,540.0,2040.0,3.7778,4.0,Lot Sold,2026-03-27,M186-627848
LSL Auctions,M186,2026-03-26,573,627890,BBX,F,24.8,527.5,1800.0,3.4123,4.0,Lot Sold,2026-03-27,M186-627890
LSL Auctions,M186,2026-03-26,574,627891,HEX,F,25.5,530.0,1920.0,3.6226,4.0,Lot Sold,2026-03-27,M186-627891
LSL Auctions,M186,2026-03-26,575,627892,HEX,F,25.2,550.0,2060.0,3.7455,4.0,Lot Sold,2026-03-27,M186-627892
LSL Auctions,M186,2026-03-26,576,627893,HEX,F,25.4,575.0,1990.0,3.4609,4.0,Lot Sold,2026-03-27,M186-627893
LSL Auctions,M186,2026-03-26,577,628020,FRX,F,21.3,525.0,1660.0,3.1619,4.0,Lot Sold,2026-03-27,M186-628020
LSL Auctions,M186,2026-03-26,578,628021,HEX,F,23.8,585.0,2160.0,3.6923,4.0,Lot Sold,2026-03-27,M186-628021
LSL Auctions,M186,2026-03-26,579,628022,HEX,F,23.5,540.0,1940.0,3.5926,4.0,Lot Sold,2026-03-27,M186-628022
LSL Auctions,M186,2026-03-26,580,628023,HEX,F,24.3,590.0,2170.0,3.678,4.0,Lot Sold,2026-03-27,M186-628023
LSL Auctions,M186,2026-03-26,581,627910,FRX,F,25.4,485.0,1480.0,3.0515,4.0,Lot Sold,2026-03-27,M186-627910
LSL Auctions,M186,2026-03-26,581A,628028,AAX,F,25.6,550.0,2040.0,3.7091,4.0,Lot Sold,2026-03-27,M186-628028
LSL Auctions,M186,2026-03-26,582,628168,CHX,F,35.0,620.0,2560.0,4.129,4.0,Lot Sold,2026-03-27,M186-628168
LSL Auctions,M186,2026-03-26,582A,628029,AAX,F,25.0,537.5,1960.0,3.6465,4.0,Lot Sold,2026-03-27,M186-628029
LSL Auctions,M186,2026-03-26,583,627849,AAX,F,24.7,600.0,2140.0,3.5667,4.0,Lot Sold,2026-03-27,M186-627849
LSL Auctions,M186,2026-03-26,584,628207,AAX,F,24.7,505.0,1910.0,3.7822,4.0,Lot Sold,2026-03-27,M186-628207
LSL Auctions,M186,2026-03-26,585,627851,AAX,F,24.7,560.0,2050.0,3.6607,4.0,Lot Sold,2026-03-27,M186-627851
LSL Auctions,M186,2026-03-26,586,627852,AAX,F,24.7,620.0,2290.0,3.6935,4.0,Lot Sold,2026-03-27,M186-627852
LSL Auctions,M186,2026-03-26,587,627853,AAX,F,24.3,485.0,1840.0,3.7938,4.0,Lot Sold,2026-03-27,M186-627853
LSL Auctions,M186,2026-03-26,588,628208,AAX,F,24.5,580.0,2100.0,3.6207,4.0,Lot Sold,2026-03-27,M186-628208
LSL Auctions,M186,2026-03-26,589,627855,AAX,F,24.7,500.0,1900.0,3.8,4.0,Lot Sold,2026-03-27,M186-627855
LSL Auctions,M186,2026-03-26,590,627856,AAX,F,24.8,520.0,1890.0,3.6346,4.0,Lot Sold,2026-03-27,M186-627856
LSL Auctions,M186,2026-03-26,591,627906,FR,F,25.2,620.0,2020.0,3.2581,4.0,Lot Sold,2026-03-27,M186-627906
LSL Auctions,M186,2026-03-26,591A,628110,AAX,F,28.9,590.0,2150.0,3.6441,4.0,Lot Sold,2026-03-27,M186-628110
LSL Auctions,M186,2026-03-26,592,627907,FR,F,21.8,525.0,1760.0,3.3524,4.0,Lot Sold,2026-03-27,M186-627907
LSL Auctions,M186,2026-03-26,592A,628111,AAX,F,25.1,605.0,2230.0,3.686,4.0,Lot Sold,2026-03-27,M186-628111
LSL Auctions,M186,2026-03-26,593,627908,BBX,F,24.4,485.0,1660.0,3.4227,4.0,Lot Sold,2026-03-27,M186-627908
LSL Auctions,M186,2026-03-26,593A,628112,HEX,F,29.7,630.0,2250.0,3.5714,4.0,Lot Sold,2026-03-27,M186-628112
